article_id,event_summary,primary_event_type,scope,overall_market_relevance,sector_impact_count,stock_impact_count,model,enriched_at
917a35aaa70d82a5ec26eaa2f7f7937f4ee320de,"T-Mobile is expanding into digital education and AI, leveraging its 5G network, which may enhance its growth prospects and investment case.",operations,company_specific,medium,2,1,gpt-4o-mini,2026-04-05T21:28:05
da8c1308e7213e7fdfa098a1df1e073f4bcfce62,International General Insurance Holdings Ltd. saw a 24.3% increase in short interest despite strong quarterly earnings and a dividend announcement.,earnings,company_specific,medium,0,1,gpt-4o-mini,2026-04-05T21:28:08
972933b3004ae3661602155396a35e9eab4cf388,"Citigroup raised Occidental Petroleum's price target to $67, maintaining a Neutral rating, indicating mixed analyst perspectives on stock performance.",analyst,company_specific,medium,0,1,gpt-4o-mini,2026-04-05T21:28:11
428c514901c6ebdf761b584124c42eb199b48f26,"TD issues 24-27 month MSCI EAFE-linked notes with principal at risk, potentially affecting investor sentiment in the financial sector.",other,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:28:15
db32e7dd57e02df46ce69fb015e4c3830ac9165a,"UnitedHealth Group saw its shares rise 1.1% after reporting strong quarterly earnings that beat expectations, despite analysts trimming price targets.",earnings,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:28:20
bd11ab0db6ad3f3195010689d25ce321ffd491b2,Home Depot's Spring Sale features significant deals including free power tools and discounts on various home categories.,other,company_specific,medium,0,2,gpt-4o-mini,2026-04-05T21:28:24
ee645ff80d2f54ad0810a6efdbcee1b653c57873,"Pfizer shares rose 2.6% due to interest in its GLP-1 program and high-dividend appeal, despite mixed analyst sentiment and competitive pressures.",earnings,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:28:27
f7ed9254ab2126516f24337a893cd5852562d8a5,Ranpak seeks shareholder approval for proposals including issuing additional shares linked to a warrant from Walmart.,other,company_specific,medium,0,1,gpt-4o-mini,2026-04-05T21:28:31
e4575a035b36bb119b6d77f60d5840d130b56725,"Netflix is reportedly looking to significantly expand its National Football League content by securing a four-game package, doubling its current NFL coverage.",other,company_specific,medium,0,2,gpt-4o-mini,2026-04-05T21:28:37
5fcf2c5944529b23235cb325efd7ce1956fe166d,"Immix Biopharma has completed enrollment for its NEXICART-2 Phase 2 trial of CAR-T therapy NXC-201 for relapsed/refractory AL amyloidosis, with topline results expected in Q3 2026.",operations,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:28:41
b628d84511f86a8276dd197d6b3e74195b70e367,"Freeport-McMoRan shares dropped 2.9% after UBS downgraded its price target, despite maintaining a buy rating.",analyst,company_specific,medium,0,1,gpt-4o-mini,2026-04-05T21:28:46
be760cf90038680195751599cf0d48759595f207,"Tesla's Robotaxi service has established a new hub in downtown Oakland, marking its second location in the East Bay.",operations,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:28:49
0161ad9745973a500b248f7c425bfb8746aeb185,ConocoPhillips outlines its 2026 outlook focusing on production growth in North America.,operations,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:28:53
7f1ca8c75aceeefdda71fd9311acb505a6acb6e0,The Walt Disney Company is adapting to the changing entertainment landscape with a focus on streaming profitability and leveraging its diverse portfolio.,operations,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:28:59
c6f27bc2266256d5500c7701da3d2333062e5dfa,"AMD stock is expected to recover in the second half of 2026 due to the launch of new AI products, potentially attracting investors and improving margins.",product,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:29:03
af571c88291763fd53304344735373cabb6e1e57,AMD stock may see growth due to upcoming product launches and revenue increases in the second half of 2026.,product,company_specific,medium,1,1,gpt-4o-mini,2026-04-05T21:29:05
ba4eeabfde2770366d12cd6df925b0bd117f5bab,"Boston Scientific Corp (BSX) stock closed down 9.06% due to analyst downgrades, concerns over growth forecasts, and ongoing legal challenges, despite positive clinical trial data.",litigation,company_specific,medium,0,2,gpt-4o-mini,2026-04-05T21:29:11
d1c85969f0eb60376fbe77d1c9ba8bbab1a6415c,"Arista Networks Inc (ANET) stock closed down by 3.82% on March 30, influenced by broader market caution, high valuation multiples, insider selling, and competitive pressures.",operations,company_specific,medium,0,1,gpt-4o-mini,2026-04-05T21:29:13
298b8a0f36f7c2ba027023ad8acec80ef7225e76,"Franklin BSP Realty Trust (NYSE:FBRT) experienced a 26.4% increase in short interest, with analysts rating it as a 'Moderate Buy'.",other,company_specific,medium,0,1,gpt-4o-mini,2026-04-05T21:29:17
7575240c30aec3398daf7d06c7bd2238fd1286ff,"Jefferies Financial Group has reiterated a 'Buy' rating on InterContinental Hotels Group (IHG), suggesting a potential upside of 25.32%. Other analysts also maintain positive outlooks, contributing to a consensus 'Moderate Buy' rating for IHG.",analyst,company_specific,medium,0,1,gpt-4o-mini,2026-04-05T21:29:20
